row ID,row m/z,row retention time,7p.mzML Peak area,4p.mzML Peak area,6p.mzML Peak area,1p.mzML Peak area,9p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,5p.mzML Peak area,12p.mzML Peak area,11p.mzML Peak area,13p.mzML Peak area,8p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area
2934,277.2166829,11.271894,63906.44,16152.451,9405.922,16663.541,73997.77,23061.64,16859.264,20873.623,14553.889,7109.895,8287.141,53156.895,11327.018,113965.58,10781.456
2935,311.22227,11.258526,7225.1855,0,5841.726,0,7277.3853,0,2080.7983,0,0,0,0,15774.108,0,22406.768,0
2936,405.7337848,11.370725,0,52972.277,0,76864.1,7559.8115,96258.9,75687.24,44115.727,2548.6006,0,17869.188,8634.547,28203.445,0,7855.8633
2937,810.4564233,11.442768,0,43681.04,4591.3794,37801.13,6236.9404,55309.766,23755.693,105961.31,7132.334,1952.6222,22093.959,7119.184,15792.609,0,10689.754
2938,295.2273317,11.250823,246049.75,40146.004,109128.7,75326.32,187025.75,60418.895,21038.469,47125.848,105430.58,47217.83,40918.758,169522.58,48815.688,422341.94,30509.025
2939,397.7342472,11.259568,0,42416.137,1656.3491,40624.176,40347.688,98806.43,28894.29,106367.016,0,0,0,14938.043,23536.213,0,11822.05
2940,313.2379085,11.272919,298570.12,13300.548,144402.95,79800.11,100781.93,102644.05,41120.24,116356.79,56141.074,22205.951,42349.344,196760.75,72953.64,282538,50535.57
2941,313.2379255,11.255954,463528.38,100095.48,229240.48,117277.33,324048.5,133939.95,94774.586,100139.25,86605.07,88440.54,70943.69,347044.6,118257.78,803117.5,114515.12
2942,354.2338552,11.276564,83410.99,6202.0176,66009.63,20803.123,110290.52,16937.986,17857.143,14024.245,6604.012,5246.097,10789.449,106873.59,18637.238,184753.8,19103.758
2943,699.4361875,11.229745,2799.5396,0,0,0,0,0,0,0,0,0,0,0,0,7622.1274,0
2944,813.4752537,11.284702,6300.492,33739.594,2141.9436,37009.027,17325.887,37642.773,7812.4473,71522.71,0,0,4335.878,13906.209,6485.2725,0,6980.7925
2945,812.4739031,11.282705,19554.883,16238.357,13304.717,28901.422,13842.625,37536.39,18908.195,35390.016,11661.255,5237.2026,22219.908,9813.809,22232.256,0,57839.37
2946,812.4719788,11.283542,27586.293,16238.357,13304.717,59856.016,112110.82,42313.12,85038.43,35390.016,11661.255,5237.2026,26616.79,60618.33,56279.855,0,35298.863
2947,826.4883301,11.164995,5822.704,22499.191,3616.0027,51917.19,16582.88,23740.742,33086.05,16090.375,6926.9307,5548.8813,23140.758,43752.723,23342.793,0,15741.769
2948,293.2115977,11.316004,13548.835,0,4392.8086,10793.189,16945.158,4947.482,7883.3135,11490.776,4404.102,2325.1587,1561.9053,11315.952,2741.1992,31561.81,2478.688
2949,740.4145582,11.241393,37178.38,61950.363,27378.504,69813.27,8113.667,264854.47,66436.22,316342.3,16585.566,4762.3037,17700.695,17149.438,31961.295,31865.459,73546.43
2950,354.233865,11.273538,132949.89,6202.0176,52703.273,20803.123,36717.07,16937.986,17857.143,14024.245,6604.012,5246.097,10789.449,60017.684,18637.238,113179.21,19103.758
2951,404.7422738,11.204754,0,80739.98,0,82879.36,26686.219,97659.22,27177.514,245294.53,0,0,13508.109,21756.674,8731.742,0,27541.312
2952,404.7423046,11.166628,0,34663.227,0,75842.59,13300.759,59839.355,29847.559,245294.53,0,0,13508.109,21756.674,8731.742,0,26093.09
2953,221.154039,11.293291,13968.369,0,0,0,10696.292,0,0,0,0,0,0,5281.573,0,16914.678,0
2954,798.4562924,11.193918,8940.582,6940.345,0,0,8703.865,4247.316,5942.6143,20656.914,0,0,0,9478.3,11671.911,0,7864.506
2955,313.2379212,11.29827,414756.56,120063.18,218863.6,110003.586,377503.8,43843.86,146937.61,97693.32,93578.84,95704.36,87461.055,121860.79,92597.1,373335.06,118919.05
2956,406.7395065,11.295447,0,19108.104,0,39423.45,10816.192,9273.406,14464.763,48953.72,0,0,0,9481.221,6342.976,0,16401.24
2957,798.4562773,11.217565,8940.582,8406.723,0,0,23555.174,4247.316,5942.6143,20656.914,0,0,0,26199.4,11671.911,0,7864.506
2958,311.2222447,11.269932,11272.023,0,5841.726,0,16759.135,0,2080.7983,0,0,0,0,15774.108,0,21297.924,0
2959,699.4363533,11.252747,2799.5396,0,0,0,0,0,0,0,0,0,0,0,0,13060.393,0
2960,398.7241215,11.331957,0,8620.909,0,0,0,16335.982,3089.9365,15548.074,0,0,1752.378,0,6586.1235,0,33682.87
2961,796.4410864,11.320786,0,19826.482,0,4933.256,2033.8477,12344.402,11978.42,35804.13,1746.9794,0,11277.228,3049.5195,43122.324,0,47880.875
2962,293.2116173,11.318062,13500.666,0,17295,10793.189,22127.81,9450.326,17501.71,11490.776,4404.102,2325.1587,1561.9053,12650.246,2741.1992,25113.285,2478.688
2963,370.7107241,11.248821,34839.555,22216.828,8430.023,140576.62,21884.576,31125.957,27706.854,26271.938,0,0,5906.107,49922.23,13657.933,73303.836,17707.611
2964,295.2273174,11.339552,216475.22,26962.516,73852.49,44798.87,324418.2,34791.203,82940.75,55873.266,32532.408,58625.906,52196.953,210703.53,95560.18,88364.695,36446.93
2965,812.4738823,11.3242655,19554.883,22688.865,13304.717,28901.422,28169.436,11289.229,18908.195,32202.875,11661.255,5237.2026,22219.908,24399.348,19087.451,0,36113.242
2966,740.4146505,11.211418,42052.516,91232.164,27378.504,69813.27,10570.52,108082.06,50861.72,316342.3,16585.566,3262.7393,17700.695,15462.241,21708.842,26377.043,41039.434
2967,353.2305386,11.260991,402483.34,65298.176,72076.484,114668.586,185888.88,126555.08,51803.812,105072.47,181011.86,86167.625,93411.766,332667.8,137512.73,395582.44,58193.855
2968,397.7342459,11.2946205,0,24848.86,1656.3491,31065.496,17278.633,21950.736,13844.82,34798.883,0,0,0,17373.465,23536.213,0,11822.05
2969,812.4723956,11.289424,19554.883,16238.357,13304.717,28901.422,39043.266,44984.734,18908.195,35390.016,11661.255,5237.2026,22219.908,13184.921,29314.72,0,18923.154
2970,353.2305508,11.359374,421071.28,262831.97,317472.6,162565.2,182287.4,54718.13,194376.67,180709.42,182920.53,284612.44,17438.518,293053.38,154358.89,561283.5,22314.586
2971,277.2166707,11.369299,58014.42,4538.5444,27837.242,20840.133,65404.938,31402.76,22878.227,27713.39,14553.889,7109.895,4283.9023,45738.598,11327.018,109724.98,12806.346
2972,351.2150233,11.3416195,82196.94,12141.965,50377.82,9040.677,22757.941,40383.01,25382.258,16211.795,6938.231,5728.6426,0,10139.303,12017.602,40073.707,11618.613
2973,766.3931463,11.372222,2872.0168,0,0,0,0,0,0,0,0,0,0,4380.9453,0,58438.34,0
2974,788.3750991,11.375388,3578.608,0,0,0,0,0,0,0,0,0,0,0,0,67490.72,0
2975,826.48768,11.360676,5822.704,93470.88,3616.0027,29731.992,50582.582,52038.336,20717.621,44363.645,2406.447,1842.0852,5315.546,31048.182,30970.44,0,14116.092
2976,796.4410078,11.341952,0,29624.307,0,2597.4053,1895.935,33680.176,3745.9746,48505.746,1746.9794,0,5050.658,3049.5195,12756.787,0,7755.8115
2977,404.7423058,11.374769,0,65032.08,0,103967.36,18692.543,15088.506,54186.562,149940.02,0,0,0,45373.83,11021.596,0,47920.656
2978,808.4387555,11.380612,0,0,0,0,0,0,0,11579.797,0,0,0,0,0,0,0
2979,832.4372997,11.483672,0,2250.6838,0,0,0,0,0,9280.74,0,0,0,0,0,0,2197.4282
2980,826.4884556,11.416764,5822.704,22592.348,3616.0027,15308.575,16582.88,22781.229,15967.721,36667.688,2406.447,1842.0852,5315.546,36348.613,15394.767,0,21574.082
2981,826.4875373,11.401245,5822.704,12477.769,3616.0027,37447.13,20415.004,86509.25,29724.52,106716.01,2406.447,1842.0852,5315.546,16913.162,11692.053,0,21574.082
2982,810.4565666,11.432807,1623.9252,82404.74,4591.3794,56416.297,6236.9404,31309.797,27998.887,197096.16,7132.334,1952.6222,22093.959,7119.184,24071.02,0,17958.693
