row ID,row m/z,row retention time,6p.mzML Peak area,7p.mzML Peak area,1p.mzML Peak area,4p.mzML Peak area,5p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,9p.mzML Peak area,11p.mzML Peak area,8p.mzML Peak area,12p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area,13p.mzML Peak area,18p.mzML Peak area,16p.mzML Peak area,20p.mzML Peak area,17p.mzML Peak area,19p.mzML Peak area
,,,DSM43815,DSM43815,DSM43168,DSM43168,DSM43168,DSM43168,DSM43168,DSM43815,2M254,DSM43815,2M254,2M254,DSM43815,2M254,2M254,CT,CT,CT,CT,CT
4314,479.2915075,19.12267,0,0,64660.25,98301.875,268645.38,155103.48,83344.01,0,26773.414,0,46754.83,203353.94,0,79666.19,25516.729,0,0,0,0,0
4315,496.3409033,19.15461,0,15995.015,195958.81,26534.484,32688.25,29639.703,45484.992,35764.777,0,0,0,11222.594,0,13551.465,0,0,0,0,0,0
4316,245.2268455,19.001194,137370.69,36428.36,122963.555,68967.99,73073.27,81257.81,117733.26,90391.016,54329.164,73909.664,44470.18,177826.36,172718.2,44498.57,76682.93,126559.125,83886.44,86885.08,222929.44,252354.42
4317,485.290896,19.089409,0,29753.117,13130.23,34746.66,43713.812,39284.06,33223.93,36332.625,45931.6,20093.037,42712.934,60921.902,16498.615,25666.812,39129.293,47995.68,23238.879,41492.387,50874.637,0
4318,485.2908303,19.076424,42210.34,41620.16,20018.012,34746.66,43713.812,38208.297,77066.15,36332.625,112188.23,46225.906,30059.188,72319.71,16498.615,57572.05,47220.074,47995.68,101652.82,44917.1,61823.55,45039.72
4319,507.2728109,19.08438,49303.938,60787.04,77288.52,26265.855,43435.215,45526.984,94884.21,28477.441,96951.2,52409.926,140557.47,94159.41,19356.633,52286.64,54137.2,15446.78,128107.92,64173.293,85809.95,54973.49
4320,212.2015282,18.961351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4321,238.2171284,18.916975,0,0,0,5735.0996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018.942,0
4322,480.2948374,19.18984,0,0,32504.373,61375.918,128127,48107.055,132827.69,0,4159.4805,0,25589.188,63455.89,0,147484.48,6964.3516,0,0,0,0,0
4323,165.1641143,18.938843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
